"1","PROJNO","RESPEMP","PRSTDATE","PRENDATE"
"PROJECT","IF1000","000030","1982-01-01","1983-02-01"
" ","IF1000","000030","1982-06-01","1983-01-01"
" ","IF1000","000130","1982-01-01","1982-10-01"
" ","IF1000","000130","1982-10-01","1983-01-01"
" ","IF1000","000140","1982-10-01","1983-01-01"
"PROJECT","IF2000","000030","1982-01-01","1983-02-01"
" ","IF2000","000030","1982-01-01","1983-01-01"
" ","IF2000","000140","1982-01-01","1982-03-01"
" ","IF2000","000140","1982-03-01","1982-07-01"
" ","IF2000","000140","1982-03-01","1982-07-01"
" ","IF2000","000140","1982-10-01","1983-01-01"